year,ticker,n_trading_days,n_news_days,total_articles,avg_articles_per_day,avg_articles_on_news_days,mean_tone_all_days,mean_tone_news_days,has_any_news,news_day_ratio
2018,AAPL,251,79,140,0.5577689243027888,1.7721518987341771,-0.085841715,-0.27273756,1,0.3147410358565737
2018,ADBE,251,12,12,0.04780876494023904,1.0,-0.0052794223,-0.11042789,1,0.04780876494023904
2018,ADP,251,8,9,0.035856573705179286,1.125,-0.015781494,-0.4951444,1,0.03187250996015936
2018,AMAT,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2018,AMD,251,9,10,0.0398406374501992,1.1111111111111112,-0.012055136,-0.33620435,1,0.035856573705179286
2018,AMGN,251,1,1,0.00398406374501992,1.0,0.00015789784,0.039632358,1,0.00398406374501992
2018,AMZN,251,66,135,0.5378486055776892,2.0454545454545454,-0.078386046,-0.29810452,1,0.26294820717131473
2018,AVGO,251,3,4,0.01593625498007968,1.3333333333333333,-0.008051494,-0.6736417,1,0.01195219123505976
2018,CMCSA,251,36,56,0.22310756972111553,1.5555555555555556,-0.03643264,-0.25401646,1,0.14342629482071714
2018,COST,251,4,4,0.01593625498007968,1.0,-0.0069118906,-0.43372113,1,0.01593625498007968
2018,CSCO,251,6,7,0.027888446215139442,1.1666666666666667,-0.0022084576,-0.09238712,1,0.02390438247011952
2018,GILD,251,1,1,0.00398406374501992,1.0,-0.0015630668,-0.39232978,1,0.00398406374501992
2018,GOOGL,251,76,148,0.5896414342629482,1.9473684210526316,-0.07561758,-0.24973701,1,0.30278884462151395
2018,INTU,251,3,3,0.01195219123505976,1.0,-0.00023011742,-0.019253159,1,0.01195219123505976
2018,ISRG,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2018,KLAC,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2018,LRCX,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2018,META,251,62,136,0.5418326693227091,2.193548387096774,-0.098596536,-0.39915693,1,0.24701195219123506
2018,MSFT,251,88,129,0.5139442231075697,1.4659090909090908,-0.07244195,-0.20662421,1,0.350597609561753
2018,MU,251,3,3,0.01195219123505976,1.0,-0.0029118967,-0.24362868,1,0.01195219123505976
2018,NFLX,251,97,138,0.549800796812749,1.422680412371134,-0.082567155,-0.21365315,1,0.38645418326693226
2018,NVDA,251,16,16,0.06374501992031872,1.0,-0.023806311,-0.37346148,1,0.06374501992031872
2018,ORCL,251,8,9,0.035856573705179286,1.125,-0.01531202,-0.48041463,1,0.03187250996015936
2018,PEP,251,8,8,0.03187250996015936,1.0,-0.014062414,-0.44120824,1,0.03187250996015936
2018,QCOM,251,19,19,0.07569721115537849,1.0,0.0011849926,0.01565437,1,0.07569721115537849
2018,REGN,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2018,SBUX,251,14,14,0.055776892430278883,1.0,-0.015163657,-0.27186272,1,0.055776892430278883
2018,TSLA,251,73,95,0.3784860557768924,1.3013698630136987,-0.13091499,-0.4501324,1,0.2908366533864542
2018,TXN,251,1,1,0.00398406374501992,1.0,-0.00065512,-0.16443512,1,0.00398406374501992
2018,VRTX,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2019,AAPL,252,89,142,0.5634920634920635,1.595505617977528,-0.088321246,-0.2500781,1,0.3531746031746032
2019,ADBE,252,6,6,0.023809523809523808,1.0,-0.00010068809,-0.0042288997,1,0.023809523809523808
2019,ADP,252,11,14,0.05555555555555555,1.2727272727272727,-0.02833703,-0.6491756,1,0.04365079365079365
2019,AMAT,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2019,AMD,252,11,13,0.051587301587301584,1.1818181818181819,-0.0024452228,-0.05601783,1,0.04365079365079365
2019,AMGN,252,1,1,0.003968253968253968,1.0,1.4654065e-05,0.0036928244,1,0.003968253968253968
2019,AMZN,252,78,147,0.5833333333333334,1.8846153846153846,-0.10374221,-0.33516714,1,0.30952380952380953
2019,AVGO,252,1,2,0.007936507936507936,2.0,-0.0032997613,-0.83153987,1,0.003968253968253968
2019,CMCSA,252,2,2,0.007936507936507936,1.0,0.004333691,0.54604506,1,0.007936507936507936
2019,COST,252,4,4,0.015873015873015872,1.0,-0.0022113016,-0.139312,1,0.015873015873015872
2019,CSCO,252,8,8,0.031746031746031744,1.0,-0.00086857734,-0.0273602,1,0.031746031746031744
2019,GILD,252,2,2,0.007936507936507936,1.0,-0.0021323462,-0.26867563,1,0.007936507936507936
2019,GOOGL,252,81,162,0.6428571428571429,2.0,-0.11728862,-0.36489797,1,0.32142857142857145
2019,INTU,252,3,3,0.011904761904761904,1.0,-0.003687556,-0.3097547,1,0.011904761904761904
2019,ISRG,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2019,KLAC,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2019,LRCX,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2019,META,252,68,154,0.6111111111111112,2.264705882352941,-0.11706148,-0.43381605,1,0.2698412698412698
2019,MSFT,252,86,107,0.4246031746031746,1.244186046511628,-0.089725934,-0.26291785,1,0.3412698412698413
2019,MU,252,3,3,0.011904761904761904,1.0,-0.0037896151,-0.31832767,1,0.011904761904761904
2019,NFLX,252,96,121,0.4801587301587302,1.2604166666666667,-0.09599226,-0.25197968,1,0.38095238095238093
2019,NVDA,252,10,10,0.03968253968253968,1.0,-0.0033453617,-0.08430312,1,0.03968253968253968
2019,ORCL,252,10,10,0.03968253968253968,1.0,-0.018121641,-0.45666537,1,0.03968253968253968
2019,PEP,252,9,9,0.03571428571428571,1.0,-0.0046565095,-0.13038225,1,0.03571428571428571
2019,QCOM,252,24,28,0.1111111111111111,1.1666666666666667,-0.012656982,-0.13289832,1,0.09523809523809523
2019,REGN,252,2,2,0.007936507936507936,1.0,-0.0038798298,-0.48885855,1,0.007936507936507936
2019,SBUX,252,15,15,0.05952380952380952,1.0,-0.016198311,-0.27213165,1,0.05952380952380952
2019,TSLA,252,41,50,0.1984126984126984,1.2195121951219512,-0.070482485,-0.4332094,1,0.1626984126984127
2019,TXN,252,1,1,0.003968253968253968,1.0,-0.0022898163,-0.5770337,1,0.003968253968253968
2019,VRTX,252,2,2,0.007936507936507936,1.0,-0.0030053442,-0.37867337,1,0.007936507936507936
2020,AAPL,253,81,156,0.616600790513834,1.9259259259259258,-0.104239196,-0.32558662,1,0.3201581027667984
2020,ADBE,253,4,5,0.019762845849802372,1.25,0.0014070013,0.088992834,1,0.015810276679841896
2020,ADP,253,16,17,0.06719367588932806,1.0625,-0.037266623,-0.58927846,1,0.06324110671936758
2020,AMAT,253,0,0,0.0,0.0,0.0,0.0,0,0.0
2020,AMD,253,12,12,0.04743083003952569,1.0,-0.008067262,-0.17008479,1,0.04743083003952569
2020,AMGN,253,2,2,0.007905138339920948,1.0,0.005839836,0.73873925,1,0.007905138339920948
2020,AMZN,253,77,139,0.549407114624506,1.8051948051948052,-0.10754325,-0.3533564,1,0.30434782608695654
2020,AVGO,253,1,1,0.003952569169960474,1.0,-0.0038243022,-0.9675485,1,0.003952569169960474
2020,CMCSA,253,7,7,0.02766798418972332,1.0,-0.008101101,-0.292797,1,0.02766798418972332
2020,COST,253,1,1,0.003952569169960474,1.0,-0.0011029497,-0.27904627,1,0.003952569169960474
2020,CSCO,253,10,10,0.039525691699604744,1.0,-0.01732053,-0.43820944,1,0.039525691699604744
2020,GILD,253,8,10,0.039525691699604744,1.25,-0.0183914,-0.581628,1,0.03162055335968379
2020,GOOGL,253,81,153,0.6047430830039525,1.8888888888888888,-0.12083696,-0.377429,1,0.3201581027667984
2020,INTU,253,4,5,0.019762845849802372,1.25,-0.0064615817,-0.408695,1,0.015810276679841896
2020,ISRG,253,0,0,0.0,0.0,0.0,0.0,0,0.0
2020,KLAC,253,0,0,0.0,0.0,0.0,0.0,0,0.0
2020,LRCX,253,0,0,0.0,0.0,0.0,0.0,0,0.0
2020,META,253,70,145,0.5731225296442688,2.0714285714285716,-0.12310384,-0.44493246,1,0.2766798418972332
2020,MSFT,253,108,152,0.6007905138339921,1.4074074074074074,-0.0998921,-0.2340065,1,0.4268774703557312
2020,MU,253,2,2,0.007905138339920948,1.0,-0.007560405,-0.9563912,1,0.007905138339920948
2020,NFLX,253,94,133,0.525691699604743,1.4148936170212767,-0.08993789,-0.24206688,1,0.3715415019762846
2020,NVDA,253,20,24,0.09486166007905138,1.2,-0.01572686,-0.19894479,1,0.07905138339920949
2020,ORCL,253,18,21,0.08300395256916997,1.1666666666666667,-0.03459061,-0.4861902,1,0.07114624505928854
2020,PEP,253,10,11,0.043478260869565216,1.1,-0.011591279,-0.29325938,1,0.039525691699604744
2020,QCOM,253,21,22,0.08695652173913043,1.0476190476190477,0.0070063,0.084409244,1,0.08300395256916997
2020,REGN,253,3,4,0.015810276679841896,1.3333333333333333,-0.0011706986,-0.09872892,1,0.011857707509881422
2020,SBUX,253,28,37,0.14624505928853754,1.3214285714285714,-0.051764864,-0.46773252,1,0.11067193675889328
2020,TSLA,253,61,90,0.3557312252964427,1.4754098360655739,-0.056110747,-0.23272163,1,0.24110671936758893
2020,TXN,253,3,3,0.011857707509881422,1.0,0.00018114648,0.015276686,1,0.011857707509881422
2020,VRTX,253,2,2,0.007905138339920948,1.0,-0.002600691,-0.32898742,1,0.007905138339920948
2021,AAPL,252,88,155,0.6150793650793651,1.7613636363636365,-0.060124483,-0.17217465,1,0.3492063492063492
2021,ADBE,252,4,4,0.015873015873015872,1.0,-0.00023790715,-0.01498815,1,0.015873015873015872
2021,ADP,252,12,12,0.047619047619047616,1.0,-0.014700027,-0.30870053,1,0.047619047619047616
2021,AMAT,252,1,1,0.003968253968253968,1.0,-0.0033667258,-0.8484149,1,0.003968253968253968
2021,AMD,252,5,5,0.01984126984126984,1.0,-0.0036809535,-0.18552005,1,0.01984126984126984
2021,AMGN,252,3,3,0.011904761904761904,1.0,-0.0047825556,-0.40173468,1,0.011904761904761904
2021,AMZN,252,74,155,0.6150793650793651,2.0945945945945947,-0.09805415,-0.3339141,1,0.29365079365079366
2021,AVGO,252,2,2,0.007936507936507936,1.0,-0.0067328755,-0.8483423,1,0.007936507936507936
2021,CMCSA,252,16,16,0.06349206349206349,1.0,-0.004645478,-0.07316627,1,0.06349206349206349
2021,COST,252,1,1,0.003968253968253968,1.0,-0.0034841343,-0.87800187,1,0.003968253968253968
2021,CSCO,252,5,5,0.01984126984126984,1.0,-0.00479972,-0.24190588,1,0.01984126984126984
2021,GILD,252,4,4,0.015873015873015872,1.0,-0.00035007796,-0.02205491,1,0.015873015873015872
2021,GOOGL,252,85,148,0.5873015873015873,1.7411764705882353,-0.109954424,-0.32598254,1,0.3373015873015873
2021,INTU,252,1,1,0.003968253968253968,1.0,-0.0018096894,-0.45604175,1,0.003968253968253968
2021,ISRG,252,1,1,0.003968253968253968,1.0,-0.0036461693,-0.9188347,1,0.003968253968253968
2021,KLAC,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2021,LRCX,252,0,0,0.0,0.0,0.0,0.0,0,0.0
2021,META,252,83,158,0.626984126984127,1.9036144578313252,-0.12880315,-0.39106494,1,0.32936507936507936
2021,MSFT,252,98,134,0.5317460317460317,1.3673469387755102,-0.067346685,-0.17317721,1,0.3888888888888889
2021,MU,252,2,2,0.007936507936507936,1.0,-0.0013515857,-0.1702998,1,0.007936507936507936
2021,NFLX,252,87,123,0.4880952380952381,1.4137931034482758,-0.05043577,-0.14608982,1,0.34523809523809523
2021,NVDA,252,24,27,0.10714285714285714,1.125,-0.027918566,-0.29314494,1,0.09523809523809523
2021,ORCL,252,6,6,0.023809523809523808,1.0,-0.0049482533,-0.20782663,1,0.023809523809523808
2021,PEP,252,7,8,0.031746031746031744,1.1428571428571428,-0.014205641,-0.511403,1,0.027777777777777776
2021,QCOM,252,18,19,0.07539682539682539,1.0555555555555556,-0.0018788512,-0.026303913,1,0.07142857142857142
2021,REGN,252,1,2,0.007936507936507936,2.0,0.00032509214,0.08192322,1,0.003968253968253968
2021,SBUX,252,13,14,0.05555555555555555,1.0769230769230769,-0.005545011,-0.1074879,1,0.051587301587301584
2021,TSLA,252,92,141,0.5595238095238095,1.5326086956521738,-0.111696556,-0.30595142,1,0.36507936507936506
2021,TXN,252,2,2,0.007936507936507936,1.0,-0.0067328755,-0.8483423,1,0.007936507936507936
2021,VRTX,252,1,1,0.003968253968253968,1.0,5.606784e-06,0.0014129095,1,0.003968253968253968
2022,AAPL,251,97,158,0.6294820717131474,1.6288659793814433,-0.10202271,-0.2639969,1,0.38645418326693226
2022,ADBE,251,2,2,0.00796812749003984,1.0,-0.002922917,-0.3668261,1,0.00796812749003984
2022,ADP,251,10,11,0.043824701195219126,1.1,-0.016486589,-0.41381344,1,0.0398406374501992
2022,AMAT,251,1,1,0.00398406374501992,1.0,-0.003200608,-0.80335265,1,0.00398406374501992
2022,AMD,251,3,3,0.01195219123505976,1.0,-0.0031114705,-0.26032636,1,0.01195219123505976
2022,AMGN,251,0,0,0.0,0.0,0.0,0.0,0,0.0
2022,AMZN,251,94,146,0.5816733067729084,1.553191489361702,-0.14288834,-0.3815423,1,0.3745019920318725
2022,AVGO,251,2,2,0.00796812749003984,1.0,-0.003636524,-0.45638376,1,0.00796812749003984
2022,CMCSA,251,6,6,0.02390438247011952,1.0,-0.0016793896,-0.070254475,1,0.02390438247011952
