ticker,years_covered,years_with_news,total_articles,total_news_days,avg_news_day_ratio,mean_tone_news_days,years_missing_news
ISRG,8,1,1,1,0.000496031746031746,-0.114854336,7
KLAC,8,1,1,1,0.00049800796812749,-0.10041908,7
LRCX,8,2,2,2,0.00099800796812749,-0.19176614,6
AMAT,8,3,3,3,0.001494039714159236,-0.1999594,5
VRTX,8,5,9,9,0.0044722692766171026,-0.15574366,3
AMGN,8,6,11,11,0.005462340736808085,-0.11956357,2
TXN,8,7,10,10,0.004962356359117142,-0.2277638,1
REGN,8,7,14,12,0.005962356359117142,-0.12946415,1
COST,8,8,18,18,0.008952349145359712,-0.37203583,0
AVGO,8,8,22,20,0.009960301463072986,-0.6841017,0
MU,8,8,25,23,0.011452396387222301,-0.51695776,0
GILD,8,8,26,24,0.011914831232820146,-0.37411726,0
INTU,8,8,26,25,0.01243257055222238,-0.33058894,0
CSCO,8,8,43,41,0.020357314890010195,-0.3391735,0
ADBE,8,8,56,51,0.025376967567336525,-0.12691666,0
PEP,8,8,90,78,0.03879175174576179,-0.37174785,0
AMD,8,8,91,82,0.040817647785169005,-0.14826754,0
ADP,8,8,112,99,0.04923832938526339,-0.5119757,0
CMCSA,8,8,123,102,0.050759753319990636,-0.13378721,0
QCOM,8,8,142,133,0.06608555857503545,0.028959922,0
ORCL,8,8,154,129,0.06424036847153078,-0.39141512,0
SBUX,8,8,191,162,0.08056385043926184,-0.38110846,0
NVDA,8,8,350,266,0.13243674133380523,-0.25662434,0
NFLX,8,8,903,671,0.33357006711843884,-0.27201205,0
TSLA,8,8,920,632,0.31441483710680834,-0.40676507,0
MSFT,8,8,1089,759,0.37737223675721854,-0.25202605,0
AMZN,8,8,1164,671,0.3337525309390458,-0.3506788,0
META,8,8,1187,616,0.30640329428255986,-0.42744654,0
AAPL,8,8,1209,732,0.3640540858712087,-0.25693423,0
GOOGL,8,8,1217,663,0.3297108872371734,-0.31682748,0
