year,ticker,n_news
2018,AAPL,198
2018,ADBE,12
2018,ADP,14
2018,AMD,10
2018,AMGN,1
2018,AMZN,198
2018,AVGO,4
2018,CMCSA,73
2018,CSCO,11
2018,GILD,1
2018,GOOGL,200
2018,INTU,3
2018,ISRG,1
2018,META,200
2018,MSFT,169
2018,MU,3
2018,NFLX,199
2018,NVDA,18
2018,ORCL,12
2018,PEP,13
2018,QCOM,19
2018,SBUX,28
2018,TSLA,132
2019,AAPL,197
2019,ADBE,6
2019,ADP,27
2019,AMD,13
2019,AMGN,2
2019,AMZN,200
2019,AVGO,5
2019,CMCSA,6
2019,COST,5
2019,CSCO,10
2019,GILD,3
2019,GOOGL,199
2019,INTU,3
2019,META,196
2019,MSFT,130
2019,MU,3
2019,NFLX,166
2019,NVDA,10
2019,ORCL,14
2019,PEP,13
2019,QCOM,31
2019,REGN,2
2019,SBUX,21
2019,TSLA,76
2019,TXN,2
2019,VRTX,2
2020,AAPL,199
2020,ADBE,7
2020,ADP,22
2020,AMD,13
2020,AMGN,2
2020,AMZN,198
2020,AVGO,1
2020,CMCSA,10
2020,COST,1
2020,CSCO,11
2020,GILD,15
2020,GOOGL,200
2020,INTU,5
2020,META,199
2020,MSFT,193
2020,MU,2
2020,NFLX,192
2020,NVDA,31
2020,ORCL,28
2020,PEP,22
2020,QCOM,23
2020,REGN,5
2020,SBUX,51
2020,TSLA,122
2020,TXN,3
2020,VRTX,3
2021,AAPL,200
2021,ADBE,5
2021,ADP,20
2021,AMAT,1
2021,AMD,5
2021,AMGN,3
2021,AMZN,200
2021,AVGO,3
2021,CMCSA,18
2021,COST,2
2021,CSCO,8
2021,GILD,5
2021,GOOGL,197
2021,INTU,3
2021,ISRG,1
2021,META,198
2021,MSFT,170
2021,MU,2
2021,NFLX,173
2021,NVDA,35
2021,ORCL,10
2021,PEP,11
2021,QCOM,20
2021,REGN,3
2021,SBUX,20
2021,TSLA,170
2021,TXN,2
2021,VRTX,1
2022,AAPL,199
2022,ADBE,2
2022,ADP,17
2022,AMAT,1
2022,AMD,3
2022,AMZN,198
2022,AVGO,2
2022,CMCSA,10
2022,COST,5
2022,CSCO,2
2022,GILD,5
2022,GOOGL,199
2022,INTU,5
2022,KLAC,1
2022,LRCX,1
2022,META,198
2022,MSFT,127
2022,MU,1
2022,NFLX,200
2022,NVDA,23
2022,ORCL,20
2022,PEP,18
2022,QCOM,15
2022,REGN,2
2022,SBUX,48
2022,TSLA,189
2022,TXN,1
2023,AAPL,198
2023,ADBE,12
2023,ADP,25
2023,AMAT,1
2023,AMD,14
2023,AMZN,197
2023,AVGO,2
2023,CMCSA,15
2023,COST,5
2023,CSCO,8
2023,GILD,1
2023,GOOGL,198
2023,INTU,5
2023,ISRG,1
2023,META,200
2023,MSFT,196
2023,MU,10
2023,NFLX,105
2023,NVDA,55
2023,ORCL,28
2023,PEP,23
2023,QCOM,16
2023,REGN,1
2023,SBUX,36
2023,TSLA,177
2023,TXN,1
2023,VRTX,5
2024,AAPL,192
2024,ADBE,14
2024,ADP,18
2024,AMD,8
2024,AMGN,2
2024,AMZN,195
2024,AVGO,4
2024,CMCSA,11
2024,COST,2
2024,CSCO,5
2024,GILD,1
2024,GOOGL,191
2024,INTU,3
2024,META,188
2024,MSFT,196
2024,MU,2
2024,NFLX,96
2024,NVDA,107
2024,ORCL,19
2024,PEP,19
2024,QCOM,16
2024,REGN,1
2024,SBUX,36
2024,TSLA,190
2024,TXN,1
2024,VRTX,1
2025,AAPL,198
2025,ADBE,10
2025,ADP,40
2025,AMD,34
2025,AMGN,2
2025,AMZN,199
2025,AVGO,6
2025,CMCSA,31
2025,COST,2
2025,CSCO,1
2025,GILD,3
2025,GOOGL,199
2025,INTU,2
2025,LRCX,1
2025,META,198
2025,MSFT,198
2025,MU,6
2025,NFLX,114
2025,NVDA,165
2025,ORCL,74
2025,PEP,12
2025,QCOM,14
2025,REGN,2
2025,SBUX,27
2025,TSLA,186
2025,TXN,1
2025,VRTX,1
