2026-05-10 12:31:04,644 | INFO | Ticker filter loaded from tickers.txt: requested=30, selected=27, missing_in_config=3
2026-05-10 12:31:04,645 | WARNING | Tickers not found in config_companies.py: AGNC,AKBA,AMC
2026-05-10 12:31:04,645 | INFO | Starting scraping-only pipeline year=2018
2026-05-10 12:31:04,645 | INFO | Config=RuntimeConfig(year=2018, output_dir='data/processed/month_ticker_one_window_test', log_dir='logs', universe_path='data/universe.json', tickers_file='tickers.txt', overwrite=True, max_articles_per_month=30, max_articles_per_ticker_year=0, window_days=30, max_windows_per_ticker=1, gdelt_maxrecords=40, gdelt_timeout=20, gdelt_retries=1, gdelt_sleep=0.05, min_request_interval=5.5, sort='hybridrel', gdelt_backoff_base=2.0, gdelt_max_backoff=90.0, article_timeout=5, article_retries=0, article_workers=16, min_body_chars=50, save_failed_body_snippet=False, skip_fulltext=True, max_runtime_minutes=0.0, stop_before_deadline_seconds=60)
2026-05-10 12:31:04,645 | INFO | Companies selected=27
2026-05-10 12:31:04,645 | INFO | Ticker source file=tickers.txt
2026-05-10 12:31:04,645 | INFO | Window days=30
2026-05-10 12:31:04,645 | INFO | Max windows per ticker=1
2026-05-10 12:31:24,745 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Apple+Inc%22+OR+%22Apple+earnings%22+OR+%. Retry/skip.
2026-05-10 12:31:47,322 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22Apple+Inc%22+OR+%22Apple+earnings%22+OR+%. Retry/skip.
2026-05-10 12:32:02,855 | WARNING | GDELT status=429. Sleeping 6.2s then retry/skip. query=("Apple Inc" OR "Apple earnings" OR "Apple stock") sourcelang:english -"apple pie" -"apple orchard" -"apple cider" -"Apple Records"
2026-05-10 12:32:18,321 | WARNING | GDELT status=429. Sleeping 11.7s then retry/skip. query=("Apple Inc" OR "Apple earnings" OR "Apple stock") sourcelang:english -"apple pie" -"apple orchard" -"apple cider" -"Apple Records"
2026-05-10 12:32:37,695 | WARNING | GDELT status=429. Sleeping 6.5s then retry/skip. query=("Apple Inc" OR "Apple earnings" OR "Apple stock") sourcelang:english -"apple pie" -"apple orchard" -"apple cider" -"Apple Records"
2026-05-10 12:32:53,519 | WARNING | GDELT status=429. Sleeping 11.5s then retry/skip. query=("Apple Inc" OR "Apple earnings" OR "Apple stock") sourcelang:english -"apple pie" -"apple orchard" -"apple cider" -"Apple Records"
2026-05-10 12:33:05,005 | INFO | Ticker AAPL fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
2026-05-10 12:33:05,061 | INFO | Ticker AAPL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:33:05,061 | INFO | Ticker AAPL done. months_processed=1 kept_articles=0
2026-05-10 12:33:15,294 | INFO | Ticker AAL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:33:15,294 | INFO | Ticker AAL done. months_processed=1 kept_articles=30
2026-05-10 12:33:35,300 | INFO | Ticker ABEO reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:33:35,300 | INFO | Ticker ABEO done. months_processed=1 kept_articles=30
2026-05-10 12:33:47,169 | WARNING | GDELT status=429. Sleeping 5.7s then retry/skip. query=("ACADIA Pharmaceuticals" OR "ACADIA Pharmaceuticals stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:34:12,925 | WARNING | GDELT request failed: HTTPSConnectionPool(host='api.gdeltproject.org', port=443): Max retries exceeded with url: /api/v2/doc/doc?query=%28%22ACADIA+Pharmaceuticals%22+OR+%22ACADIA+Ph. Retry/skip.
2026-05-10 12:34:25,429 | WARNING | GDELT status=429. Sleeping 6.5s then retry/skip. query=("ACADIA Pharmaceuticals" OR "ACADIA Pharmaceuticals stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:34:38,784 | WARNING | GDELT status=429. Sleeping 11.2s then retry/skip. query=("ACADIA Pharmaceuticals" OR "ACADIA Pharmaceuticals stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:35:04,980 | INFO | Ticker ACAD fallback split window 2018-01-01 -> 2018-01-31 got 40 articles
2026-05-10 12:35:05,049 | INFO | Ticker ACAD reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:35:05,049 | INFO | Ticker ACAD done. months_processed=1 kept_articles=30
2026-05-10 12:35:20,041 | INFO | Ticker ACGL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:35:20,041 | INFO | Ticker ACGL done. months_processed=1 kept_articles=30
2026-05-10 12:35:38,454 | INFO | Ticker ACHC reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:35:38,454 | INFO | Ticker ACHC done. months_processed=1 kept_articles=30
2026-05-10 12:35:52,354 | WARNING | GDELT status=429. Sleeping 6.1s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:36:04,141 | WARNING | GDELT status=429. Sleeping 11.2s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:36:20,793 | WARNING | GDELT status=429. Sleeping 6.0s then retry/skip. query=("Achieve Life Sciences" OR "Achieve Life Sciences stock" OR "cytisinicline") sourcelang:english
2026-05-10 12:39:22,491 | INFO | Ticker filter loaded from tickers.txt: requested=30, selected=30, missing_in_config=0
2026-05-10 12:39:22,492 | INFO | Starting scraping-only pipeline year=2018
2026-05-10 12:39:22,492 | INFO | Config=RuntimeConfig(year=2018, output_dir='data/processed/month_ticker_one_window_test', log_dir='logs', universe_path='data/universe.json', tickers_file='tickers.txt', overwrite=True, max_articles_per_month=30, max_articles_per_ticker_year=0, window_days=30, max_windows_per_ticker=1, gdelt_maxrecords=80, gdelt_timeout=20, gdelt_retries=1, gdelt_sleep=0.05, min_request_interval=15.0, sort='hybridrel', gdelt_backoff_base=2.0, gdelt_max_backoff=90.0, article_timeout=8, article_retries=1, article_workers=8, min_body_chars=50, save_failed_body_snippet=False, skip_fulltext=False, max_runtime_minutes=0.0, stop_before_deadline_seconds=60)
2026-05-10 12:39:22,492 | INFO | Companies selected=30
2026-05-10 12:39:22,492 | INFO | Ticker source file=tickers.txt
2026-05-10 12:39:22,492 | INFO | Window days=30
2026-05-10 12:39:22,492 | INFO | Max windows per ticker=1
2026-05-10 12:39:28,502 | INFO | Ticker AAPL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:39:28,503 | INFO | Ticker AAPL done. months_processed=1 kept_articles=30
2026-05-10 12:39:51,271 | INFO | Ticker AAL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:39:51,273 | INFO | Ticker AAL done. months_processed=1 kept_articles=30
2026-05-10 12:40:10,556 | WARNING | GDELT status=429. Sleeping 15.7s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:40:34,557 | WARNING | GDELT status=429. Sleeping 30.9s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:41:08,920 | WARNING | GDELT status=429. Sleeping 15.2s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:41:26,915 | WARNING | GDELT status=429. Sleeping 30.8s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:41:59,473 | WARNING | GDELT status=429. Sleeping 15.8s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:42:16,930 | WARNING | GDELT status=429. Sleeping 30.5s then retry/skip. query=("Abeona Therapeutics" OR "Abeona Therapeutics stock") sourcelang:english
2026-05-10 12:42:47,466 | INFO | Ticker ABEO fallback split window 2018-01-01 -> 2018-01-31 got 0 articles
2026-05-10 12:42:47,528 | INFO | Ticker ABEO reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:42:47,538 | INFO | Ticker ABEO done. months_processed=1 kept_articles=0
2026-05-10 12:42:50,190 | WARNING | GDELT status=429. Sleeping 15.9s then retry/skip. query=("ACADIA Pharmaceuticals" OR "ACADIA Pharmaceuticals stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:43:11,514 | INFO | Ticker ACAD reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:43:11,516 | INFO | Ticker ACAD done. months_processed=1 kept_articles=30
2026-05-10 12:43:28,227 | WARNING | GDELT status=429. Sleeping 15.3s then retry/skip. query=("Arch Capital Group" OR "Arch Capital Group earnings" OR "Arch Capital Group stock") sourcelang:english
2026-05-10 12:43:47,614 | INFO | Ticker ACGL reached max_windows_per_ticker=1. Stop further windows.
2026-05-10 12:43:47,614 | INFO | Ticker ACGL done. months_processed=1 kept_articles=30
2026-05-10 12:44:03,866 | WARNING | GDELT status=429. Sleeping 15.4s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
2026-05-10 12:44:21,241 | WARNING | GDELT status=429. Sleeping 30.3s then retry/skip. query=("Acadia Healthcare Company" OR "Acadia Healthcare earnings" OR "Acadia Healthcare stock") sourcelang:english -"Acadia National Park" -"Acadia University"
