ticker,company_name,exchange,periods_total,total_articles,periods_active,periods_pass,active_ratio,pass_ratio,avg_articles_per_period,median_articles_per_period,p25_articles_per_period,avg_articles_per_month,median_articles_per_month,keep
AAPL,Apple Inc. - Common Stock,NASDAQ,96,254122.0,96,96,1.0,1.0,2647.104,2202.5,826.5,2647.104,2202.5,True
AAL,American Airlines Group,Inc. - Common Stock,96,32215.0,96,96,1.0,1.0,335.573,196.5,79.25,335.573,196.5,True
ABEO,Abeona Therapeutics Inc. - Common Stock,NASDAQ,96,1431.0,94,75,0.9792,0.7812,14.906,8.0,4.0,14.906,8.0,True
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,NASDAQ,96,2984.0,96,91,1.0,0.9479,31.083,15.5,7.0,31.083,15.5,True
ACGL,Arch Capital Group Ltd. - Common Stock,NASDAQ,96,2142.0,96,93,1.0,0.9688,22.312,17.0,11.75,22.312,17.0,True
ACHC,Acadia Healthcare Company,Inc. - Common Stock,96,1532.0,95,79,0.9896,0.8229,15.958,7.5,4.75,15.958,7.5,True
ACHV,Achieve Life Sciences,Inc.  - Common Shares,96,1343.0,88,65,0.9167,0.6771,13.99,7.0,3.0,13.99,7.0,True
ACIU,AC Immune SA - Common Stock,NASDAQ,96,879.0,88,63,0.9167,0.6562,9.156,5.5,2.0,9.156,5.5,True
ACLS,Axcelis Technologies,Inc. - Common Stock,96,1576.0,95,87,0.9896,0.9062,16.417,14.0,9.0,16.417,14.0,True
ACMR,ACM Research,Inc. - Class A Common Stock,96,2681.0,96,89,1.0,0.9271,27.927,13.0,9.0,27.927,13.0,True
ADBE,Adobe Inc. - Common Stock,NASDAQ,96,15961.0,96,96,1.0,1.0,166.26,150.0,113.5,166.26,150.0,True
ADI,Analog Devices,Inc. - Common Stock,96,26463.0,96,96,1.0,1.0,275.656,250.5,125.75,275.656,250.5,True
ADIL,Adial Pharmaceuticals,Inc - Common Stock,96,1746.0,85,61,0.8854,0.6354,18.188,6.5,2.0,18.188,6.5,True
ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,96,1037.0,92,79,0.9583,0.8229,10.802,8.0,4.75,10.802,8.0,True
ADSK,Autodesk,Inc. - Common Stock,96,48246.0,96,96,1.0,1.0,502.562,441.0,247.0,502.562,441.0,True
AEHR,Aehr Test Systems - Common Stock,NASDAQ,96,1217.0,92,70,0.9583,0.7292,12.677,9.0,3.0,12.677,9.0,True
AEIS,Advanced Energy Industries,Inc. - Common Stock,96,1986.0,96,87,1.0,0.9062,20.688,15.5,8.0,20.688,15.5,True
AEMD,Aethlon Medical,Inc. - Common Stock,96,942.0,93,74,0.9688,0.7708,9.812,8.0,4.0,9.812,8.0,True
AEO,American Eagle Outfitters,Inc. Common Stock,96,12026.0,96,96,1.0,1.0,125.271,94.0,54.0,125.271,94.0,True
AEYE,AudioEye,Inc. - Common Stock,96,1008.0,92,69,0.9583,0.7188,10.5,7.5,3.0,10.5,7.5,True
AFRM,Affirm Holdings,Inc. - Class A Common Stock,96,3495.0,63,62,0.6562,0.6458,36.406,20.0,0.0,36.406,20.0,True
AGEN,Agenus Inc. - Common Stock,NASDAQ,96,1609.0,96,85,1.0,0.8854,16.76,12.5,6.75,16.76,12.5,True
AGG,iShares Core U.S. Aggregate Bond ETF,P,96,2401.0,96,93,1.0,0.9688,25.01,14.0,8.75,25.01,14.0,True
AGIO,Agios Pharmaceuticals,Inc. - Common Stock,96,2213.0,96,95,1.0,0.9896,23.052,17.0,9.0,23.052,17.0,True
AGL,agilon health,inc. Common Stock,96,900.0,82,62,0.8542,0.6458,9.375,6.0,2.0,9.375,6.0,True
AGNC,AGNC Investment Corp. - Common Stock,NASDAQ,96,1994.0,96,92,1.0,0.9583,20.771,17.5,11.0,20.771,17.5,True
AGNT,eXp World Holdings,Inc. - Common Stock,96,1689.0,96,92,1.0,0.9583,17.594,14.5,9.0,17.594,14.5,True
AGX,Argan,Inc. Common Stock,96,15698.0,96,96,1.0,1.0,163.521,151.0,113.5,163.521,151.0,True
AGYS,Agilysys,Inc. - Common Stock,96,1854.0,96,96,1.0,1.0,19.312,16.0,10.0,19.312,16.0,True
AI,C3.ai,Inc. Class A Common Stock,96,5254.0,91,86,0.9479,0.8958,54.729,40.0,20.75,54.729,40.0,True
AIG,American International Group,Inc. New Common Stock,96,26561.0,96,96,1.0,1.0,276.677,149.5,90.0,276.677,149.5,True
AIOT,PowerFleet,Inc. - Common Stock,96,772.0,89,63,0.9271,0.6562,8.042,5.0,2.0,8.042,5.0,True
AIP,Arteris,Inc.  - Common Stock,96,544.0,93,66,0.9688,0.6875,5.667,5.0,2.0,5.667,5.0,True
AIQ,Global X Artificial Intelligence & Technology ETF,NASDAQ,96,786.0,93,69,0.9688,0.7188,8.188,6.0,3.0,8.188,6.0,True
AIRG,Airgain,Inc. - Common Stock,96,1195.0,94,78,0.9792,0.8125,12.448,10.0,4.0,12.448,10.0,True
AIRT,Air T,Inc. - Common Stock,96,7112.0,96,96,1.0,1.0,74.083,53.0,32.5,74.083,53.0,True
AIT,Applied Industrial Technologies,Inc. Common Stock,96,1224.0,96,86,1.0,0.8958,12.75,10.0,6.0,12.75,10.0,True
AIZ,Assurant,Inc. Common Stock,96,5104.0,96,96,1.0,1.0,53.167,43.5,22.75,53.167,43.5,True
AKAM,Akamai Technologies,Inc. - Common Stock,96,9711.0,96,96,1.0,1.0,101.156,94.0,36.0,101.156,94.0,True
AKBA,Akebia Therapeutics,Inc. - Common Stock,96,2105.0,96,90,1.0,0.9375,21.927,17.0,7.0,21.927,17.0,True
ALCO,Alico,Inc. - Common Stock,96,3065.0,96,94,1.0,0.9792,31.927,26.5,16.0,31.927,26.5,True
ALEC,Alector,Inc. - Common Stock,96,1300.0,93,78,0.9688,0.8125,13.542,8.5,4.75,13.542,8.5,True
ALGM,Allegro MicroSystems,Inc. - Common Stock,96,2127.0,96,95,1.0,0.9896,22.156,19.0,12.0,22.156,19.0,True
